;LOPE_AmorConVista(1626)cate;LOPE_AmorPleitoYDesafio(1621)cate;LOPE_AyVerdadesQueEnAmor(1625)cate;LOPE_BastardoMudarra(1612)cate;LOPE_BatallaDelHonor(1608)cate;LOPE_Benavides(1600)cate;LOPE_BizarriasDeBelisa(1634)cate;LOPE_BrasilRestituido(1625)cate;LOPE_BuenaGuarda(1610)cate;LOPE_BurgalesaDeLerma(1613)cate;LOPE_CaballeroDelSacramento(1610)cate;LOPE_CardenalDeBelen(1610)cate;LOPE_CarlosQuintoEnFrancia(1604)cate;LOPE_CastigoSinVenganza(1631)cate;LOPE_CoronaDeHungria(1623)cate;LOPE_CoronaMerecida(1603)cate;LOPE_CuerdoLoco(1602)cate;LOPE_DamaBoba(1613)cate;LOPE_DelMonteSale(1627)cate;LOPE_DesdenVengado(1617)cate;LOPE_DiscordiaEnLosCasados(1611)cate;LOPE_EstefaniaLaDesdichada(1604)cate;LOPE_FavorAgradecido(1593)cate;LOPE_GalanDeLaMembrilla(1615)cate;LOPE_HermosaEster(1610)cate;LOPE_LoQuePasaEnUnaTarde(1617)cate;LOPE_MarquesDeLasNavas(1624)cate;LOPE_MasPuedenCelos(1627)cate;LOPE_MayorVictoriaDeAlemania(1622)cate;LOPE_NinezDelPadreRojas(1625)cate;LOPE_PedroCarbonero(1603)cate;LOPE_PoderEnElDiscreto(1623)cate;LOPE_PrincipeDespenado(1602)cate;LOPE_PruebaDeLosAmigos(1604)cate;LOPE_QuienMasNoPuede(1616)cate;LOPE_SantiagoElVerde(1615)cate;LOPE_SembrarEnBuenaTierra(1616)cate;LOPE_SinSecretoNoHayAmor(1626)cate
pr0cs00;0,414494;0,294445;0,344407;0,256348;0,278231;0,259361;0,234592;0,239071;0,253477;0,345785;0,323542;0,288125;0,228595;0,371045;0,300797;0,312919;0,254345;0,255261;0,337146;0,460103;0,350416;0,264712;0,410798;0,236325;0,360863;0,228728;0,302219;0,261723;0,183434;0,313373;0,268706;0,330863;0,216009;0,327080;0,320986;0,307802;0,286964;0,326030
pp3a0;0,661853;0,281358;0,344407;0,231934;0,320571;0,210731;0,383877;0,085383;0,350968;0,606542;0,247415;0,192083;0,193960;0,318969;0,278237;0,370394;0,254345;0,367327;0,244596;0,239506;0,200238;0,271499;0,170188;0,265145;0,224689;0,267939;0,164062;0,210832;0,112883;0,245617;0,144688;0,324246;0,296241;0,277709;0,378764;0,313721;0,245969;0,495566
vmm02p0;0,427865;0,300988;0,186554;0,299072;0,320571;0,567353;0,227483;0,247609;0,266476;0,294768;0,203007;0,349866;0,574952;0,136701;0,451196;0,427869;0,526858;0,267713;0,185099;0,144964;0,131406;0,251137;0,181925;0,340077;0,156601;0,248334;0,319489;0,239913;0,225765;0,220208;0,220477;0,251456;0,357958;0,283881;0,199011;0,290044;0,143482;0,195618
vmm02s0;0,180505;0,229013;0,193729;0,305176;0,314522;0,275571;0,270136;0,170765;0,266476;0,204070;0,241071;0,301845;0,339429;0,292931;0,233118;0,325691;0,248289;0,217906;0,257817;0,271020;0,262812;0,305437;0,269953;0,213269;0,238306;0,326755;0,276315;0,276263;0,253986;0,271026;0,475403;0,311011;0,487564;0,413478;0,391603;0,266367;0,245969;0,273865
pd00s00;0,254045;0,287902;0,258305;0,225830;0,326619;0,367429;0,270136;0,196380;0,370467;0,272093;0,317199;0,157783;0,221668;0,208306;0,255678;0,312919;0,387573;0,423359;0,271039;0,315139;0,300357;0,244349;0,357981;0,317021;0,156601;0,339825;0,250410;0,268993;0,190490;0,186330;0,227367;0,311011;0,222181;0,413478;0,256789;0,230851;0,198142;0,267345
pp1cso0;0,421179;0,287902;0,380283;0,238037;0,362911;0,291781;0,248809;0,204918;0,207981;0,357123;0,177631;0,253825;0,263231;0,325478;0,345917;0,236286;0,211954;0,348649;0,277649;0,308837;0,219010;0,230774;0,264085;0,224797;0,245115;0,235263;0,284949;0,327154;0,169324;0,203269;0,151578;0,436739;0,290070;0,314737;0,256789;0,272286;0,327958;0,273865
vsn0000;0,354325;0,294445;0,243955;0,213623;0,266134;0,194521;0,327006;0,230533;0,207981;0,283431;0,304511;0,205804;0,290939;0,377555;0,285757;0,255444;0,187731;0,286390;0,330535;0,277323;0,256555;0,237562;0,316901;0,213269;0,217880;0,326755;0,241775;0,348964;0,253986;0,406538;0,323825;0,363949;0,216009;0,209825;0,327406;0,337398;0,259634;0,273865
vmif1s0;0,200562;0,366420;0,172203;0,170898;0,205649;0,259361;0,177721;0,102459;0,311972;0,209739;0,253759;0,198944;0,187032;0,188778;0,248158;0,236286;0,296736;0,280164;0,171878;0,365562;0,237782;0,339374;0,217136;0,282437;0,190645;0,248334;0,233140;0,152672;0,176379;0,237147;0,303156;0,264690;0,339443;0,240681;0,224690;0,236770;0,225471;0,195618
vsip3p0;0,160449;0,229013;0,193729;0,231934;0,247989;0,140487;0,163503;0,213456;0,188483;0,289099;0,298167;0,096042;0,193960;0,162739;0,338397;0,197969;0,127173;0,273938;0,132214;0,277323;0,300357;0,176475;0,158451;0,265145;0,129366;0,287544;0,189966;0,130862;0,162269;0,262556;0,206697;0,185283;0,104919;0,290052;0,109135;0,248609;0,218639;0,123891
vsip1s0;0,213932;0,157037;0,150678;0,311279;0,217746;0,389042;0,184830;0,162227;0,162485;0,102035;0,190319;0,116622;0,387919;0,214816;0,240638;0,204355;0,230122;0,168099;0,231374;0,264717;0,131406;0,176475;0,328638;0,167157;0,136175;0,169912;0,138157;0,189022;0,091717;0,067756;0,227367;0,218370;0,234524;0,240681;0,192592;0,230851;0,129817;0,202139
pp2csn0;0,086910;0,281358;0,229605;0,213623;0,187504;0,162101;0,127959;0,102459;0,194982;0,170058;0,183975;0,102902;0,214741;0,240854;0,285757;0,197969;0,266457;0,236583;0,191710;0,245809;0,219010;0,169687;0,217136;0,178685;0,197454;0,300614;0,224506;0,094511;0,225765;0,186330;0,151578;0,211752;0,259211;0,234510;0,192592;0,236770;0,232304;0,189098
dp3cpn;0,133708;0,091605;0,200904;0,225830;0,175407;0,167504;0,163503;0,307377;0,168985;0,215407;0,253759;0,384167;0,207814;0,227835;0,195518;0,178811;0,242233;0,118292;0,231374;0,170175;0,143921;0,176475;0,134977;0,172921;0,401716;0,156842;0,284949;0,225373;0,289262;0,296434;0,192917;0,185283;0,154292;0,080227;0,231110;0,165739;0,136649;0,234742
pt0cs00;0,160449;0,098148;0,165028;0,115967;0,278231;0,205328;0,177721;0,179303;0,272975;0,170058;0,145911;0,116622;0,200887;0,149720;0,406076;0,172425;0,236178;0,236583;0,237985;0,138661;0,143921;0,264712;0,111502;0,253617;0,163410;0,169912;0,224506;0,145402;0,183434;0,338782;0,199807;0,205135;0,209838;0,283881;0,166913;0,236770;0,054660;0,352113
vmsp2s0;0,127022;0,183210;0,193729;0,219727;0,163310;0,210731;0,142177;0,128074;0,240478;0,147384;0,215695;0,137202;0,117761;0,201797;0,195518;0,210741;0,254345;0,149421;0,185099;0,245809;0,237782;0,230774;0,293427;0,213269;0,211071;0,228728;0,103618;0,174482;0,183434;0,135513;0,206697;0,198518;0,222181;0,222167;0,173332;0,219013;0,300629;0,202139
vmiress0;0,193876;0,196297;0,100452;0,158691;0,278231;0,205328;0,142177;0,179303;0,246978;0,136047;0,183975;0,226384;0,159324;0,084624;0,248158;0,325691;0,260401;0,124517;0,158657;0,233203;0,193980;0,176475;0,193662;0,207505;0,238306;0,182983;0,267680;0,174482;0,239876;0,169391;0,179137;0,172049;0,197494;0,253024;0,154073;0,195336;0,122984;0,195618
pp3ms00;0,080225;0,209383;0,143503;0,152588;0,163310;0,362025;0,163503;0,076844;0,136488;0,192733;0,183975;0,267545;0,304794;0,182268;0,127839;0,172425;0,230122;0,193002;0,105771;0,189084;0,131406;0,162900;0,099765;0,242089;0,183836;0,202588;0,181331;0,298073;0,077607;0,194800;0,130908;0,231604;0,166636;0,271538;0,211851;0,278205;0,204974;0,299948
vaip1s0;0,227303;0,215926;0,229605;0,195313;0,145164;0,232345;0,142177;0,110997;0,194982;0,147384;0,196663;0,150923;0,131615;0,156230;0,233118;0,178811;0,248289;0,130743;0,271039;0,226900;0,175208;0,264712;0,246479;0,161393;0,102131;0,189518;0,189966;0,145402;0,183434;0,160921;0,192917;0,238221;0,135777;0,228339;0,128394;0,295963;0,245969;0,195618
pi0ms00;0,200562;0,157037;0,136328;0,140381;0,217746;0,156697;0,184830;0,162227;0,220980;0,175727;0,228383;0,198944;0,110834;0,149720;0,127839;0,191583;0,205898;0,180550;0,105771;0,220598;0,168951;0,251137;0,264085;0,161393;0,142984;0,254869;0,207236;0,145402;0,112883;0,237147;0,234257;0,211752;0,203666;0,240681;0,192592;0,195336;0,225471;0,169536
pp2cs0p;0,514775;0,170124;0,150678;0,128174;0,169358;0,199924;0,177721;0,136612;0,188483;0,198401;0,076128;0,061741;0,290939;0,214816;0,150399;0,312919;0,133228;0,273938;0,152046;0,094542;0,100119;0,115387;0,234742;0,167157;0,108940;0,169912;0,069079;0,239913;0,105828;0,194800;0,172247;0,105876;0,172808;0,302394;0,166913;0,301882;0,102487;0,169536
dp1cps;0,120337;0,215926;0,186554;0,341797;0,133067;0,151294;0,213265;0,085383;0,214481;0,215407;0,164943;0,171503;0,117761;0,182268;0,240638;0,063861;0,169563;0,224131;0,224764;0,220598;0,137663;0,271499;0,234742;0,167157;0,204262;0,189518;0,103618;0,159942;0,190490;0,143982;0,137798;0,185283;0,209838;0,111084;0,141234;0,177578;0,109319;0,143453
pp300;0,193876;0,104691;0,251130;0,128174;0,114922;0,108067;0,163503;0,076844;0,220980;0,260756;0,203007;0,137202;0,069271;0,149720;0,112799;0,127722;0,133228;0,193002;0,158657;0,119753;0,137663;0,095025;0,099765;0,190213;0,122557;0,202588;0,129522;0,196292;0,119938;0,177861;0,117128;0,119111;0,141949;0,148112;0,243949;0,118385;0,273299;0,117371
vmsp3p0;0,093595;0,130864;0,114802;0,091553;0,217746;0,108067;0,199047;0,298839;0,142987;0,107704;0,164943;0,198944;0,124688;0,084624;0,172958;0,070247;0,218010;0,062259;0,171878;0,107147;0,150178;0,088237;0,129108;0,224797;0,224689;0,189518;0,189966;0,116321;0,162269;0,127043;0,213587;0,125728;0,123434;0,197482;0,134814;0,159820;0,095655;0,117371
di0mp0;0,093595;0,124321;0,150678;0,146484;0,187504;0,081050;0,199047;0,196380;0,129988;0,181396;0,145911;0,164643;0,173178;0,162739;0,112799;0,134108;0,133228;0,143195;0,112382;0,176478;0,256555;0,101812;0,170188;0,115280;0,211071;0,098026;0,103618;0,123591;0,119938;0,143982;0,186027;0,092642;0,154292;0,172797;0,121975;0,153901;0,143482;0,123891
de0cn0;0,120337;0,202840;0,251130;0,091553;0,157261;0,129681;0,255918;0,179303;0,240478;0,141715;0,126879;0,061741;0,103907;0,117172;0,142879;0,102178;0,054503;0,174324;0,171878;0,075633;0,100119;0,081450;0,111502;0,092224;0,088514;0,156842;0,233140;0,065431;0,148159;0,262556;0,082679;0,211752;0,086404;0,333251;0,064197;0,142062;0,109319;0,149974
vsis3s0;0,173820;0,176667;0,136328;0,067139;0,096776;0,124277;0,127959;0,196380;0,097491;0,102035;0,228383;0,089182;0,180105;0,195287;0,195518;0,070247;0,139284;0,130743;0,059496;0,107147;0,118891;0,169687;0,076291;0,172921;0,074896;0,209123;0,129522;0,109051;0,190490;0,127043;0,062009;0,158814;0,209838;0,074056;0,128394;0,088789;0,143482;0,254304
dt0cn0;0,113652;0,117778;0,136328;0,109863;0,181455;0,086454;0,085306;0,170765;0,103991;0,130378;0,133223;0,144063;0,069271;0,188778;0,120319;0,166039;0,096893;0,105840;0,138825;0,144964;0,175208;0,108600;0,211268;0,109516;0,136175;0,130702;0,069079;0,101781;0,134048;0,211739;0,137798;0,138962;0,160464;0,098741;0,109135;0,177578;0,184477;0,117371
pr00000;0,207247;0,111235;0,200904;0,097656;0,133067;0,129681;0,106633;0,128074;0,149487;0,170058;0,107847;0,260685;0,138543;0,084624;0,180478;0,114950;0,109005;0,130743;0,145435;0,088239;0,068832;0,122175;0,088028;0,213269;0,142984;0,111097;0,181331;0,152672;0,119938;0,118574;0,124018;0,072790;0,154292;0,098741;0,096296;0,106547;0,157147;0,123891
vmp00pm;0,066854;0,078519;0,050226;0,177002;0,151213;0,091857;0,106633;0,145150;0,116989;0,073692;0,082472;0,178363;0,159324;0,123682;0,120319;0,089405;0,175619;0,093388;0,152046;0,182781;0,262812;0,088237;0,146714;0,167157;0,108940;0,163377;0,077713;0,167212;0,197545;0,076226;0,096459;0,066173;0,098747;0,160454;0,154073;0,159820;0,157147;0,071727
pp2cso0;0,100281;0,104691;0,086102;0,158691;0,114922;0,118874;0,028435;0,136612;0,129988;0,096366;0,152255;0,096042;0,138543;0,136701;0,165438;0,108564;0,121117;0,118292;0,178489;0,176478;0,106376;0,169687;0,123239;0,086460;0,177027;0,124167;0,094983;0,050891;0,056441;0,143982;0,144688;0,172049;0,222181;0,135769;0,179752;0,118385;0,184477;0,091288
vmip1p0;0,080225;0,032716;0,050226;0,097656;0,090728;0,124277;0,099524;0,110997;0,194982;0,124709;0,133223;0,315566;0,096980;0,058586;0,203038;0,121336;0,175619;0,130743;0,099160;0,088239;0,106376;0,061087;0,164319;0,057640;0,068087;0,111097;0,138157;0,116321;0,253986;0,067756;0,316935;0,052938;0,098747;0,117255;0,141234;0,130224;0,129817;0,071727
dp2cps;0,046798;0,117778;0,121977;0,164795;0,102825;0,140487;0,071088;0,093921;0,090992;0,051018;0,120535;0,192083;0,103907;0,078115;0,157918;0,057475;0,115061;0,080936;0,178489;0,170175;0,143921;0,108600;0,193662;0,097988;0,231497;0,098026;0,051809;0,029080;0,084662;0,110104;0,082679;0,112493;0,191323;0,104912;0,154073;0,082870;0,136649;0,058685
vmioss0;0,046798;0,124321;0,071751;0,109863;0,072582;0,113471;0,049762;0,085383;0,090992;0,136047;0,120535;0,123482;0,096980;0,052077;0,097759;0,159653;0,096893;0,130743;0,112382;0,176478;0,231525;0,108600;0,146714;0,109516;0,122557;0,150307;0,094983;0,065431;0,098772;0,101635;0,179137;0,059555;0,203666;0,154283;0,102716;0,053273;0,136649;0,104330
vmis3p0;0,053483;0,091605;0,093277;0,097656;0,072582;0,054034;0,113741;0,290301;0,051995;0,124709;0,063440;0,157783;0,138543;0,149720;0,120319;0,076633;0,060558;0,080936;0,099160;0,044120;0,168951;0,095025;0,117371;0,121044;0,177027;0,215658;0,241775;0,072701;0,162269;0,118574;0,227367;0,092642;0,080232;0,080227;0,057777;0,112466;0,047827;0,078247
nccp000;0,080225;0,098148;0,150678;0,128174;0,133067;0,091857;0,113741;0,170765;0,103991;0,062355;0,114191;0,137202;0,187032;0,084624;0,105279;0,095792;0,145340;0,149421;0,105771;0,113450;0,162693;0,108600;0,088028;0,121044;0,156601;0,091491;0,120888;0,094511;0,141103;0,084696;0,130908;0,039704;0,067889;0,123426;0,096296;0,065112;0,102487;0,045644
dd0mp0;0,040112;0,071975;0,107627;0,189209;0,084679;0,081050;0,092415;0,102459;0,155986;0,130378;0,088816;0,096042;0,090053;0,104153;0,097759;0,121336;0,157452;0,068485;0,105771;0,107147;0,219010;0,108600;0,093897;0,144101;0,108940;0,117632;0,051809;0,050891;0,176379;0,093165;0,103348;0,046321;0,135777;0,197482;0,064197;0,130224;0,102487;0,065206
dp2p;0,200562;0,157037;0,107627;0,103760;0,084679;0,113471;0,078197;0,145150;0,084492;0,130378;0,076128;0,061741;0,131615;0,234344;0,082719;0,172425;0,084782;0,093388;0,138825;0,182781;0,093861;0,033937;0,064554;0,155629;0,068087;0,045746;0,060444;0,196292;0,155214;0,152452;0,020670;0,046321;0,067889;0,012343;0,154073;0,088789;0,116152;0,156495
vaip2s0;0,080225;0,078519;0,078927;0,177002;0,096776;0,183714;0,099524;0,034153;0,064994;0,085029;0,095160;0,054881;0,076198;0,084624;0,060159;0,114950;0,084782;0,105840;0,145435;0,063028;0,193980;0,203625;0,129108;0,080696;0,061279;0,104561;0,077713;0,072701;0,091717;0,093165;0,062009;0,178666;0,129606;0,086398;0,115555;0,053273;0,157147;0,110850
pp3cn00;0,153764;0,052346;0,121977;0,073242;0,120970;0,081050;0,156394;0,136612;0,129988;0,090698;0,050752;0,034301;0,076198;0,091134;0,142879;0,083019;0,066614;0,136969;0,105771;0,132359;0,143921;0,081450;0,076291;0,138337;0,061279;0,156842;0,224506;0,072701;0,070552;0,042348;0,055119;0,092642;0,037030;0,080227;0,096296;0,130224;0,102487;0,136933
dd0cs0;0,086910;0,117778;0,150678;0,061035;0,108873;0,070244;0,106633;0,110997;0,155986;0,096366;0,044408;0,137202;0,076198;0,110663;0,105279;0,083019;0,036335;0,105840;0,085939;0,107147;0,118891;0,088237;0,070423;0,057640;0,115749;0,065351;0,146792;0,116321;0,035276;0,169391;0,130908;0,125728;0,049374;0,092570;0,115555;0,130224;0,116152;0,117371
vmsp2p0;0,160449;0,117778;0,057401;0,115967;0,108873;0,162101;0,078197;0,102459;0,136488;0,141715;0,050752;0,027440;0,166251;0,071605;0,180478;0,134108;0,090838;0,099614;0,112382;0,050422;0,068832;0,061087;0,064554;0,213269;0,040852;0,098026;0,069079;0,109051;0,084662;0,050817;0,075789;0,052938;0,104919;0,129598;0,025679;0,106547;0,068325;0,052165
vaip3p0;0,086910;0,058889;0,057401;0,140381;0,090728;0,075647;0,078197;0,256148;0,136488;0,124709;0,082472;0,130342;0,145470;0,078115;0,082719;0,089405;0,109005;0,087162;0,046275;0,081936;0,143921;0,088237;0,093897;0,092224;0,088514;0,098026;0,155427;0,079971;0,169324;0,059287;0,096459;0,046321;0,067889;0,123426;0,083456;0,094708;0,054660;0,039124
vsp00sm;0,180505;0,117778;0,050226;0,079346;0,084679;0,113471;0,120850;0,110997;0,064994;0,102035;0,114191;0,041161;0,076198;0,169249;0,067679;0,083019;0,096893;0,087162;0,092550;0,107147;0,093861;0,108600;0,129108;0,080696;0,095322;0,169912;0,120888;0,101781;0,035276;0,042348;0,089569;0,086024;0,111091;0,067884;0,057777;0,094708;0,034162;0,136933
vmis2s0;0,046798;0,130864;0,086102;0,067139;0,133067;0,059437;0,056871;0,068306;0,136488;0,102035;0,082472;0,096042;0,055417;0,143211;0,067679;0,031931;0,072670;0,249035;0,092550;0,088239;0,106376;0,115387;0,058685;0,046112;0,136175;0,071886;0,077713;0,072701;0,134048;0,042348;0,055119;0,119111;0,043202;0,104912;0,096296;0,059193;0,027330;0,149974
pp1cp00;0,120337;0,032716;0,021525;0,042725;0,054437;0,064840;0,085306;0,085383;0,123489;0,113372;0,145911;0,240104;0,069271;0,065096;0,120319;0,070247;0,205898;0,043581;0,066107;0,056725;0,112634;0,054300;0,093897;0,040348;0,047661;0,091491;0,069079;0,065431;0,197545;0,084696;0,124018;0,046321;0,074060;0,141940;0,102716;0,094708;0,075157;0,052165
pi0cs00;0,113652;0,045803;0,121977;0,061035;0,066534;0,108067;0,113741;0,042691;0,097491;0,073692;0,101504;0,020580;0,062344;0,084624;0,075199;0,108564;0,115061;0,087162;0,059496;0,113450;0,037545;0,074662;0,064554;0,063404;0,088514;0,117632;0,051809;0,058161;0,063497;0,059287;0,124018;0,079407;0,074060;0,185139;0,089876;0,082870;0,068325;0,065206
vsiress0;0,147078;0,052346;0,129153;0,054932;0,114922;0,086454;0,049762;0,059768;0,077993;0,068023;0,031720;0,054881;0,041563;0,130191;0,090239;0,095792;0,078726;0,074710;0,092550;0,044120;0,031287;0,135750;0,076291;0,109516;0,054470;0,117632;0,086348;0,065431;0,091717;0,110104;0,048229;0,119111;0,061717;0,061713;0,115555;0,094708;0,054660;0,097809
pi0mp00;0,026742;0,032716;0,064576;0,115967;0,066534;0,086454;0,042653;0,076844;0,032497;0,056686;0,063440;0,157783;0,110834;0,065096;0,060159;0,108564;0,109005;0,124517;0,052886;0,050422;0,137663;0,074662;0,152582;0,092224;0,115749;0,071886;0,069079;0,014540;0,063497;0,067756;0,186027;0,072790;0,067889;0,166626;0,044938;0,071031;0,054660;0,039124
ap01s;0,147078;0,091605;0,136328;0,085449;0,078631;0,108067;0,078197;0,051230;0,090992;0,073692;0,031720;0,027440;0,041563;0,052077;0,082719;0,108564;0,175619;0,062259;0,066107;0,075633;0,056317;0,115387;0,058685;0,040348;0,108940;0,098026;0,051809;0,079971;0,035276;0,067756;0,089569;0,079407;0,148121;0,080227;0,057777;0,088789;0,075157;0,052165
vssi3s0;0,127022;0,071975;0,100452;0,079346;0,084679;0,081050;0,049762;0,076844;0,090992;0,073692;0,107847;0,048021;0,069271;0,156230;0,105279;0,076633;0,096893;0,105840;0,085939;0,081936;0,062574;0,074662;0,082160;0,069168;0,040852;0,111097;0,060444;0,087241;0,049386;0,101635;0,048229;0,046321;0,098747;0,080227;0,064197;0,071031;0,061492;0,058685
vmm03s0;0,040112;0,058889;0,035876;0,030518;0,060485;0,070244;0,099524;0,068306;0,116989;0,527181;0,095160;0,075461;0,034636;0,032548;0,082719;0,051089;0,054503;0,056033;0,052886;0,044120;0,025030;0,061087;0,082160;0,040348;0,088514;0,026140;0,069079;0,043621;0,035276;0,118574;0,027560;0,033086;0,086404;0,037028;0,089876;0,088789;0,027330;0,306468
vmp00pf;0,060168;0,085062;0,093277;0,115967;0,060485;0,070244;0,063980;0,076844;0,123489;0,085029;0,088816;0,109762;0,090053;0,065096;0,090239;0,057475;0,030279;0,074710;0,052886;0,075633;0,112634;0,074662;0,082160;0,063404;0,081705;0,065351;0,112253;0,087241;0,183434;0,033878;0,068899;0,066173;0,043202;0,074056;0,109135;0,035516;0,102487;0,032603
vmiresp0;0,040112;0,058889;0,050226;0,054932;0,066534;0,113471;0,035544;0,051230;0,051995;0,062355;0,057096;0,054881;0,083126;0,052077;0,082719;0,063861;0,121117;0,049807;0,118993;0,031514;0,100119;0,115387;0,070423;0,109516;0,115749;0,078421;0,077713;0,036350;0,077607;0,059287;0,082679;0,006617;0,086404;0,098741;0,192592;0,053273;0,088822;0,045644
dp2msp;0,160449;0,098148;0,028701;0,097656;0,120970;0,145891;0,071088;0,034153;0,045496;0,062355;0,031720;0,020580;0,083126;0,045567;0,067679;0,070247;0,072670;0,068485;0,046275;0,018908;0,050059;0,040725;0,058685;0,074932;0,061279;0,052281;0,086348;0,159942;0,084662;0,118574;0,020670;0,072790;0,098747;0,049371;0,044938;0,076950;0,034162;0,078247
pp3mpa0;0,046798;0,052346;0,057401;0,097656;0,084679;0,043227;0,071088;0,145150;0,116989;0,085029;0,031720;0,041161;0,083126;0,058586;0,127839;0,076633;0,066614;0,099614;0,052886;0,069331;0,056317;0,054300;0,035211;0,063404;0,054470;0,032675;0,051809;0,029080;0,084662;0,084696;0,103348;0,039704;0,030858;0,117255;0,038518;0,076950;0,122984;0,026082
