;LOPE_AmorConVista(1626)cate;LOPE_AmorPleitoYDesafio(1621)cate;LOPE_AyVerdadesQueEnAmor(1625)cate;LOPE_BastardoMudarra(1612)cate;LOPE_BatallaDelHonor(1608)cate;LOPE_Benavides(1600)cate;LOPE_BizarriasDeBelisa(1634)cate;LOPE_BrasilRestituido(1625)cate;LOPE_BuenaGuarda(1610)cate;LOPE_BurgalesaDeLerma(1613)cate;LOPE_CaballeroDelSacramento(1610)cate;LOPE_CardenalDeBelen(1610)cate;LOPE_CarlosQuintoEnFrancia(1604)cate;LOPE_CastigoSinVenganza(1631)cate;LOPE_CoronaDeHungria(1623)cate;LOPE_CoronaMerecida(1603)cate;LOPE_CuerdoLoco(1602)cate;LOPE_DamaBoba(1613)cate;LOPE_DelMonteSale(1627)cate;LOPE_DesdenVengado(1617)cate;LOPE_DiscordiaEnLosCasados(1611)cate;LOPE_EstefaniaLaDesdichada(1604)cate;LOPE_FavorAgradecido(1593)cate;LOPE_GalanDeLaMembrilla(1615)cate;LOPE_HermosaEster(1610)cate;LOPE_LoQuePasaEnUnaTarde(1617)cate;LOPE_MarquesDeLasNavas(1624)cate;LOPE_MasPuedenCelos(1627)cate;LOPE_MayorVictoriaDeAlemania(1622)cate;LOPE_NinezDelPadreRojas(1625)cate;LOPE_PedroCarbonero(1603)cate;LOPE_PoderEnElDiscreto(1623)cate;LOPE_PrincipeDespenado(1602)cate;LOPE_PruebaDeLosAmigos(1604)cate;LOPE_QuienMasNoPuede(1616)cate;LOPE_SantiagoElVerde(1615)cate;LOPE_SembrarEnBuenaTierra(1616)cate;LOPE_SinSecretoNoHayAmor(1626)cate
vsii3s0;0,053483;0,065432;0,050226;0,036621;0,048388;0,054034;0,071088;0,034153;0,025998;0,130378;0,069784;0,082321;0,034636;0,065096;0,060159;0,070247;0,054503;0,080936;0,092550;0,050422;0,087604;0,061087;0,058685;0,063404;0,034044;0,111097;0,043174;0,087241;0,049386;0,093165;0,089569;0,079407;0,061717;0,111084;0,096296;0,041435;0,034162;0,091288
vssp1s0;0,046798;0,078519;0,093277;0,036621;0,054437;0,059437;0,028435;0,008538;0,071494;0,051018;0,038064;0,068601;0,034636;0,084624;0,075199;0,146880;0,078726;0,087162;0,132214;0,056725;0,068832;0,047512;0,058685;0,063404;0,061279;0,104561;0,017270;0,109051;0,070552;0,067756;0,041339;0,026469;0,098747;0,104912;0,064197;0,047354;0,068325;0,065206
p01cs00;0,113652;0,117778;0,086102;0,030518;0,072582;0,097260;0,035544;0,017077;0,090992;0,039680;0,063440;0,061741;0,090053;0,058586;0,045120;0,095792;0,030279;0,093388;0,079328;0,063028;0,037545;0,108600;0,029343;0,115280;0,040852;0,039211;0,060444;0,058161;0,042331;0,084696;0,041339;0,059555;0,061717;0,055542;0,064197;0,041435;0,047827;0,052165
vsip2p0;0,073539;0,039259;0,028701;0,024414;0,139116;0,113471;0,028435;0,051230;0,038996;0,124709;0,031720;0,027440;0,096980;0,045567;0,105279;0,089405;0,036335;0,074710;0,046275;0,031514;0,037545;0,047512;0,082160;0,051876;0,040852;0,071886;0,060444;0,079971;0,049386;0,042348;0,075789;0,039704;0,092575;0,098741;0,044938;0,094708;0,040995;0,078247
vsip2s0;0,020056;0,065432;0,071751;0,091553;0,096776;0,108067;0,028435;0,008538;0,077993;0,034012;0,057096;0,034301;0,096980;0,065096;0,090239;0,031931;0,096893;0,087162;0,066107;0,075633;0,043802;0,088237;0,117371;0,034584;0,040852;0,039211;0,086348;0,036350;0,035276;0,033878;0,068899;0,086024;0,129606;0,024685;0,025679;0,023677;0,061492;0,052165
pi000;0,073539;0,052346;0,078927;0,048828;0,006049;0,054034;0,106633;0,076844;0,058495;0,062355;0,063440;0,082321;0,027709;0,065096;0,067679;0,019158;0,036335;0,087162;0,026443;0,056725;0,056317;0,027150;0,052817;0,057640;0,034044;0,019605;0,069079;0,072701;0,056441;0,008470;0,027560;0,158814;0,043202;0,080227;0,051358;0,076950;0,061492;0,052165
pd0ms00;0,033427;0,026173;0,043051;0,054932;0,030243;0,075647;0,014218;0,025615;0,077993;0,028343;0,031720;0,096042;0,103907;0,052077;0,045120;0,038317;0,084782;0,056033;0,026443;0,050422;0,043802;0,040725;0,129108;0,057640;0,040852;0,019605;0,077713;0,021810;0,042331;0,110104;0,089569;0,026469;0,037030;0,092570;0,089876;0,023677;0,047827;0,052165
aq0cn00;0,006685;0,000000;0,007175;0,000000;0,000000;0,010807;0,000000;0,008538;0,155986;0,413809;0,019032;0,020580;0,000000;0,000000;0,015040;0,000000;0,006056;0,000000;0,000000;0,000000;0,018772;0,006787;0,000000;0,340077;0,013617;0,313684;0,025904;0,014540;0,007055;0,016939;0,041339;0,013235;0,000000;0,006171;0,006420;0,011839;0,368953;0,000000
vmiosp0;0,066854;0,052346;0,086102;0,054932;0,060485;0,064840;0,028435;0,051230;0,032497;0,079361;0,044408;0,020580;0,103907;0,013019;0,052639;0,057475;0,060558;0,049807;0,039664;0,037817;0,043802;0,006787;0,035211;0,086460;0,047661;0,026140;0,112253;0,043621;0,056441;0,050817;0,041339;0,006617;0,043202;0,049371;0,070617;0,053273;0,068325;0,032603
vmsi2s0;0,066854;0,026173;0,043051;0,036621;0,048388;0,048630;0,000000;0,017077;0,032497;0,056686;0,076128;0,041161;0,055417;0,071605;0,022560;0,031931;0,024223;0,037355;0,066107;0,119753;0,068832;0,108600;0,070423;0,028820;0,088514;0,039211;0,000000;0,043621;0,021166;0,110104;0,075789;0,059555;0,018515;0,049371;0,064197;0,035516;0,020497;0,013041
pp30;0,033427;0,091605;0,043051;0,054932;0,036291;0,054034;0,049762;0,051230;0,064994;0,073692;0,044408;0,000000;0,041563;0,058586;0,037600;0,012772;0,018168;0,105840;0,039664;0,044120;0,050059;0,027150;0,017606;0,034584;0,047661;0,065351;0,069079;0,014540;0,042331;0,033878;0,034449;0,072790;0,024687;0,049371;0,044938;0,088789;0,081990;0,026082
ao0ms00;0,060168;0,045803;0,014350;0,030518;0,072582;0,021613;0,042653;0,068306;0,019498;0,062355;0,038064;0,089182;0,152397;0,058586;0,060159;0,070247;0,018168;0,037355;0,033053;0,044120;0,068832;0,013575;0,029343;0,028820;0,054470;0,026140;0,043174;0,036350;0,056441;0,059287;0,048229;0,039704;0,086404;0,018514;0,038518;0,041435;0,027330;0,032603
vsg0000;0,053483;0,065432;0,035876;0,073242;0,036291;0,016210;0,042653;0,042691;0,019498;0,034012;0,031720;0,013720;0,027709;0,097644;0,045120;0,038317;0,048447;0,049807;0,006611;0,063028;0,018772;0,033937;0,070423;0,040348;0,027235;0,032675;0,017270;0,094511;0,042331;0,059287;0,062009;0,052938;0,043202;0,037028;0,070617;0,082870;0,034162;0,084768
van0000;0,100281;0,039259;0,100452;0,042725;0,024194;0,043227;0,049762;0,034153;0,006499;0,062355;0,082472;0,041161;0,034636;0,065096;0,015040;0,057475;0,030279;0,037355;0,019832;0,037817;0,037545;0,027150;0,029343;0,063404;0,027235;0,019605;0,051809;0,021810;0,070552;0,025409;0,103348;0,066173;0,055545;0,037028;0,019259;0,041435;0,040995;0,058685
vmii3p0;0,020056;0,052346;0,064576;0,036621;0,018146;0,048630;0,063980;0,025615;0,032497;0,051018;0,012688;0,089182;0,096980;0,045567;0,052639;0,025544;0,024223;0,093388;0,019832;0,012606;0,081347;0,020362;0,064554;0,023056;0,034044;0,058816;0,043174;0,014540;0,021166;0,025409;0,075789;0,039704;0,049374;0,067884;0,019259;0,059193;0,081990;0,045644
pp3mp00;0,026742;0,019630;0,021525;0,079346;0,006049;0,027017;0,035544;0,076844;0,064994;0,051018;0,038064;0,048021;0,020781;0,019529;0,052639;0,044703;0,084782;0,018678;0,033053;0,025211;0,093861;0,027150;0,058685;0,074932;0,054470;0,058816;0,069079;0,043621;0,084662;0,059287;0,055119;0,013235;0,030858;0,037028;0,032099;0,053273;0,034162;0,039124
pd000;0,040112;0,045803;0,028701;0,048828;0,036291;0,021613;0,042653;0,000000;0,032497;0,073692;0,050752;0,068601;0,048490;0,026038;0,022560;0,038317;0,054503;0,099614;0,026443;0,056725;0,018772;0,081450;0,058685;0,063404;0,013617;0,045746;0,034539;0,094511;0,021166;0,050817;0,048229;0,013235;0,030858;0,055542;0,025679;0,029596;0,040995;0,006521
dp1p;0,026742;0,026173;0,007175;0,067139;0,030243;0,016210;0,014218;0,068306;0,051995;0,022674;0,025376;0,020580;0,083126;0,052077;0,090239;0,006386;0,072670;0,049807;0,052886;0,000000;0,050059;0,027150;0,029343;0,080696;0,081705;0,013070;0,043174;0,058161;0,148159;0,033878;0,041339;0,026469;0,061717;0,030857;0,032099;0,029596;0,047827;0,000000
vaip2p0;0,127022;0,091605;0,050226;0,030518;0,036291;0,048630;0,049762;0,025615;0,051995;0,056686;0,019032;0,034301;0,013854;0,026038;0,022560;0,057475;0,012112;0,043581;0,019832;0,012606;0,012515;0,033937;0,041080;0,074932;0,040852;0,032675;0,069079;0,101781;0,007055;0,008470;0,027560;0,019852;0,055545;0,024685;0,025679;0,065112;0,040995;0,058685
p02cs00;0,020056;0,045803;0,050226;0,030518;0,054437;0,027017;0,021327;0,008538;0,064994;0,028343;0,044408;0,027440;0,027709;0,045567;0,007520;0,044703;0,024223;0,037355;0,039664;0,031514;0,025030;0,067875;0,064554;0,057640;0,061279;0,052281;0,008635;0,029080;0,056441;0,050817;0,041339;0,059555;0,030858;0,030857;0,057777;0,023677;0,040995;0,013041
vmsf1s0;0,066854;0,052346;0,021525;0,036621;0,042340;0,070244;0,085306;0,025615;0,045496;0,017006;0,069784;0,020580;0,041563;0,000000;0,015040;0,006386;0,042391;0,031129;0,006611;0,044120;0,075089;0,033937;0,046948;0,023056;0,040852;0,013070;0,077713;0,021810;0,042331;0,059287;0,041339;0,039704;0,030858;0,030857;0,038518;0,011839;0,027330;0,058685
pp3cpd0;0,020056;0,032716;0,028701;0,085449;0,018146;0,016210;0,021327;0,119536;0,051995;0,056686;0,031720;0,000000;0,034636;0,026038;0,075199;0,000000;0,030279;0,031129;0,019832;0,056725;0,037545;0,020362;0,023474;0,011528;0,061279;0,052281;0,086348;0,021810;0,063497;0,050817;0,048229;0,013235;0,024687;0,037028;0,012839;0,053273;0,006832;0,026082
ncms00v;0,013371;0,013086;0,021525;0,292969;0,030243;0,021613;0,014218;0,025615;0,019498;0,028343;0,069784;0,068601;0,020781;0,019529;0,045120;0,006386;0,018168;0,093388;0,006611;0,012606;0,006257;0,013575;0,011737;0,005764;0,027235;0,039211;0,017270;0,007270;0,042331;0,025409;0,048229;0,006617;0,055545;0,061713;0,032099;0,017758;0,068325;0,006521
pr0ms00;0,033427;0,026173;0,021525;0,042725;0,024194;0,048630;0,042653;0,051230;0,025998;0,011337;0,025376;0,020580;0,034636;0,026038;0,030080;0,019158;0,012112;0,043581;0,046275;0,025211;0,025030;0,040725;0,041080;0,051876;0,034044;0,026140;0,017270;0,065431;0,063497;0,025409;0,034449;0,013235;0,024687;0,030857;0,044938;0,023677;0,040995;0,065206
vmsi3p0;0,073539;0,026173;0,028701;0,048828;0,048388;0,027017;0,056871;0,034153;0,019498;0,039680;0,038064;0,041161;0,055417;0,039057;0,037600;0,006386;0,018168;0,024903;0,026443;0,012606;0,037545;0,013575;0,011737;0,034584;0,054470;0,032675;0,043174;0,007270;0,035276;0,067756;0,041339;0,033086;0,012343;0,012343;0,051358;0,035516;0,020497;0,039124
vmii2s0;0,046798;0,039259;0,057401;0,006104;0,030243;0,021613;0,028435;0,000000;0,084492;0,039680;0,038064;0,013720;0,000000;0,045567;0,015040;0,019158;0,012112;0,068485;0,079328;0,031514;0,018772;0,020362;0,011737;0,011528;0,013617;0,026140;0,025904;0,029080;0,049386;0,042348;0,020670;0,072790;0,024687;0,055542;0,032099;0,059193;0,020497;0,039124
ncmn000;0,033427;0,026173;0,014350;0,000000;0,006049;0,027017;0,035544;0,051230;0,038996;0,051018;0,019032;0,144063;0,027709;0,026038;0,007520;0,019158;0,024223;0,037355;0,019832;0,000000;0,018772;0,047512;0,011737;0,023056;0,013617;0,071886;0,034539;0,065431;0,035276;0,101635;0,027560;0,026469;0,012343;0,049371;0,012839;0,035516;0,047827;0,032603
vmif1p0;0,053483;0,019630;0,014350;0,036621;0,018146;0,048630;0,035544;0,042691;0,064994;0,039680;0,044408;0,054881;0,069271;0,006510;0,037600;0,006386;0,036335;0,018678;0,013221;0,006303;0,025030;0,027150;0,029343;0,051876;0,013617;0,039211;0,025904;0,014540;0,028221;0,016939;0,055119;0,026469;0,024687;0,055542;0,025679;0,047354;0,027330;0,013041
ap0ms1s;0,026742;0,052346;0,028701;0,030518;0,036291;0,097260;0,021327;0,017077;0,045496;0,022674;0,019032;0,054881;0,027709;0,032548;0,000000;0,019158;0,030279;0,043581;0,033053;0,025211;0,012515;0,040725;0,023474;0,034584;0,027235;0,032675;0,043174;0,021810;0,021166;0,042348;0,013780;0,039704;0,018515;0,012343;0,038518;0,035516;0,054660;0,026082
vmsp1p0;0,013371;0,019630;0,007175;0,024414;0,036291;0,037824;0,042653;0,042691;0,071494;0,051018;0,019032;0,048021;0,055417;0,006510;0,060159;0,025544;0,018168;0,031129;0,006611;0,012606;0,018772;0,027150;0,046948;0,023056;0,027235;0,032675;0,017270;0,014540;0,063497;0,016939;0,055119;0,026469;0,012343;0,024685;0,057777;0,035516;0,013665;0,032603
pp3cno0;0,040112;0,039259;0,035876;0,018311;0,060485;0,027017;0,035544;0,008538;0,071494;0,000000;0,019032;0,006860;0,020781;0,019529;0,030080;0,025544;0,030279;0,031129;0,026443;0,044120;0,000000;0,006787;0,011737;0,017292;0,006809;0,052281;0,025904;0,014540;0,035276;0,050817;0,027560;0,033086;0,018515;0,037028;0,044938;0,011839;0,040995;0,032603
di0cs0;0,013371;0,013086;0,021525;0,030518;0,024194;0,021613;0,021327;0,017077;0,038996;0,028343;0,006344;0,020580;0,041563;0,013019;0,007520;0,038317;0,030279;0,018678;0,013221;0,044120;0,031287;0,040725;0,035211;0,046112;0,027235;0,006535;0,043174;0,036350;0,021166;0,050817;0,048229;0,026469;0,018515;0,043199;0,012839;0,017758;0,061492;0,019562
ao000;0,020056;0,045803;0,035876;0,054932;0,006049;0,000000;0,028435;0,034153;0,038996;0,022674;0,012688;0,034301;0,006927;0,071605;0,037600;0,000000;0,024223;0,018678;0,013221;0,031514;0,012515;0,040725;0,005869;0,028820;0,027235;0,058816;0,008635;0,021810;0,091717;0,076226;0,013780;0,019852;0,018515;0,012343;0,025679;0,000000;0,027330;0,039124
pd0cs00;0,033427;0,039259;0,007175;0,018311;0,042340;0,010807;0,028435;0,017077;0,038996;0,034012;0,019032;0,034301;0,013854;0,097644;0,030080;0,025544;0,030279;0,024903;0,006611;0,025211;0,031287;0,027150;0,011737;0,005764;0,013617;0,026140;0,017270;0,007270;0,007055;0,042348;0,000000;0,013235;0,030858;0,030857;0,025679;0,035516;0,061492;0,026082
dd0cp0;0,006685;0,052346;0,014350;0,030518;0,018146;0,005403;0,056871;0,008538;0,025998;0,073692;0,006344;0,034301;0,020781;0,039057;0,007520;0,019158;0,030279;0,037355;0,033053;0,037817;0,025030;0,020362;0,023474;0,023056;0,006809;0,032675;0,043174;0,029080;0,021166;0,025409;0,020670;0,026469;0,000000;0,037028;0,019259;0,035516;0,013665;0,013041
pr000;0,040112;0,013086;0,007175;0,018311;0,024194;0,010807;0,028435;0,093921;0,019498;0,056686;0,031720;0,034301;0,020781;0,026038;0,052639;0,006386;0,024223;0,006226;0,033053;0,000000;0,012515;0,006787;0,017606;0,011528;0,047661;0,013070;0,034539;0,021810;0,042331;0,033878;0,020670;0,006617;0,030858;0,024685;0,025679;0,035516;0,006832;0,026082
vmm03p0;0,006685;0,006543;0,000000;0,018311;0,054437;0,016210;0,042653;0,017077;0,058495;0,056686;0,019032;0,027440;0,062344;0,013019;0,052639;0,019158;0,018168;0,043581;0,013221;0,000000;0,031287;0,033937;0,005869;0,005764;0,040852;0,013070;0,008635;0,014540;0,021166;0,000000;0,062009;0,000000;0,030858;0,018514;0,032099;0,005919;0,000000;0,013041
nc00v;0,000000;0,006543;0,007175;0,079346;0,000000;0,021613;0,142177;0,008538;0,045496;0,051018;0,000000;0,013720;0,013854;0,000000;0,015040;0,000000;0,000000;0,049807;0,006611;0,018908;0,000000;0,108600;0,000000;0,046112;0,027235;0,006535;0,017270;0,007270;0,014110;0,000000;0,068899;0,013235;0,006172;0,024685;0,006420;0,011839;0,020497;0,006521
dp1msp;0,013371;0,006543;0,000000;0,024414;0,012097;0,021613;0,007109;0,034153;0,000000;0,034012;0,031720;0,054881;0,020781;0,006510;0,037600;0,006386;0,072670;0,000000;0,019832;0,000000;0,025030;0,027150;0,041080;0,017292;0,040852;0,032675;0,008635;0,021810;0,042331;0,033878;0,041339;0,013235;0,018515;0,024685;0,006420;0,017758;0,006832;0,032603
ncfn000;0,020056;0,019630;0,014350;0,012207;0,018146;0,070244;0,007109;0,025615;0,012999;0,022674;0,019032;0,020580;0,027709;0,019529;0,000000;0,051089;0,012112;0,018678;0,013221;0,037817;0,062574;0,020362;0,029343;0,017292;0,006809;0,019605;0,025904;0,000000;0,049386;0,025409;0,013780;0,006617;0,006172;0,037028;0,032099;0,017758;0,020497;0,006521
vmsi1s0;0,040112;0,019630;0,021525;0,018311;0,024194;0,000000;0,021327;0,017077;0,012999;0,011337;0,044408;0,020580;0,006927;0,032548;0,030080;0,031931;0,012112;0,037355;0,006611;0,000000;0,018772;0,033937;0,023474;0,023056;0,013617;0,032675;0,017270;0,050891;0,028221;0,016939;0,020670;0,013235;0,006172;0,030857;0,025679;0,011839;0,047827;0,032603
ap03n;0,026742;0,019630;0,000000;0,018311;0,006049;0,016210;0,007109;0,017077;0,019498;0,028343;0,025376;0,006860;0,027709;0,013019;0,007520;0,019158;0,018168;0,018678;0,006611;0,000000;0,018772;0,020362;0,023474;0,017292;0,006809;0,026140;0,034539;0,014540;0,021166;0,042348;0,006890;0,039704;0,018515;0,030857;0,025679;0,035516;0,013665;0,013041
dp2mpp;0,013371;0,006543;0,028701;0,018311;0,018146;0,027017;0,028435;0,034153;0,012999;0,011337;0,000000;0,013720;0,000000;0,019529;0,037600;0,031931;0,036335;0,018678;0,052886;0,000000;0,037545;0,013575;0,011737;0,005764;0,034044;0,000000;0,008635;0,029080;0,028221;0,033878;0,013780;0,006617;0,024687;0,006171;0,025679;0,005919;0,013665;0,013041
ap0ms2s;0,006685;0,006543;0,021525;0,061035;0,030243;0,000000;0,021327;0,000000;0,019498;0,005669;0,012688;0,006860;0,013854;0,006510;0,007520;0,019158;0,018168;0,006226;0,026443;0,025211;0,012515;0,033937;0,046948;0,017292;0,013617;0,032675;0,008635;0,007270;0,021166;0,025409;0,034449;0,013235;0,018515;0,006171;0,012839;0,005919;0,013665;0,006521
vasi1s0;0,040112;0,013086;0,035876;0,012207;0,018146;0,016210;0,007109;0,025615;0,006499;0,022674;0,019032;0,006860;0,027709;0,013019;0,022560;0,012772;0,012112;0,006226;0,006611;0,006303;0,025030;0,006787;0,000000;0,011528;0,000000;0,039211;0,008635;0,021810;0,007055;0,042348;0,013780;0,013235;0,043202;0,012343;0,012839;0,005919;0,013665;0,032603
vsis1s0;0,026742;0,006543;0,028701;0,006104;0,018146;0,010807;0,014218;0,008538;0,006499;0,039680;0,012688;0,027440;0,027709;0,006510;0,000000;0,012772;0,012112;0,006226;0,026443;0,018908;0,031287;0,027150;0,041080;0,034584;0,000000;0,006535;0,008635;0,007270;0,021166;0,008470;0,006890;0,013235;0,012343;0,006171;0,019259;0,005919;0,020497;0,032603
pd0mp00;0,006685;0,006543;0,014350;0,030518;0,012097;0,027017;0,021327;0,017077;0,006499;0,028343;0,006344;0,013720;0,006927;0,006510;0,007520;0,019158;0,006056;0,000000;0,006611;0,025211;0,025030;0,006787;0,011737;0,017292;0,027235;0,006535;0,000000;0,036350;0,014110;0,042348;0,034449;0,026469;0,018515;0,030857;0,000000;0,023677;0,027330;0,006521
pi0cp00;0,013371;0,026173;0,000000;0,006104;0,024194;0,016210;0,021327;0,025615;0,032497;0,011337;0,019032;0,006860;0,006927;0,000000;0,015040;0,012772;0,006056;0,037355;0,019832;0,025211;0,025030;0,000000;0,041080;0,017292;0,020426;0,006535;0,008635;0,007270;0,014110;0,033878;0,020670;0,019852;0,006172;0,006171;0,000000;0,023677;0,027330;0,013041
vmm01p0;0,013371;0,006543;0,000000;0,024414;0,012097;0,016210;0,014218;0,008538;0,012999;0,011337;0,031720;0,041161;0,006927;0,000000;0,045120;0,038317;0,024223;0,012452;0,000000;0,025211;0,000000;0,000000;0,029343;0,023056;0,006809;0,000000;0,000000;0,007270;0,007055;0,050817;0,020670;0,000000;0,006172;0,030857;0,006420;0,017758;0,027330;0,026082
vsis3p0;0,013371;0,032716;0,007175;0,012207;0,018146;0,010807;0,014218;0,042691;0,006499;0,028343;0,019032;0,020580;0,020781;0,026038;0,015040;0,012772;0,018168;0,024903;0,033053;0,006303;0,000000;0,013575;0,005869;0,005764;0,000000;0,032675;0,043174;0,021810;0,007055;0,025409;0,013780;0,013235;0,000000;0,006171;0,006420;0,005919;0,000000;0,039124
vmic3s0;0,013371;0,006543;0,000000;0,006104;0,024194;0,021613;0,028435;0,017077;0,012999;0,034012;0,012688;0,006860;0,020781;0,019529;0,000000;0,038317;0,012112;0,012452;0,006611;0,012606;0,031287;0,020362;0,000000;0,000000;0,013617;0,013070;0,000000;0,014540;0,000000;0,025409;0,020670;0,019852;0,012343;0,000000;0,012839;0,035516;0,034162;0,013041
vsif1s0;0,020056;0,013086;0,014350;0,006104;0,012097;0,000000;0,000000;0,000000;0,006499;0,011337;0,025376;0,000000;0,000000;0,019529;0,015040;0,019158;0,006056;0,012452;0,006611;0,018908;0,018772;0,013575;0,041080;0,028820;0,013617;0,013070;0,017270;0,014540;0,021166;0,008470;0,006890;0,006617;0,012343;0,012343;0,025679;0,005919;0,013665;0,013041
ap02p;0,026742;0,013086;0,028701;0,012207;0,000000;0,027017;0,014218;0,000000;0,006499;0,022674;0,000000;0,000000;0,006927;0,000000;0,015040;0,012772;0,006056;0,018678;0,000000;0,018908;0,006257;0,000000;0,011737;0,011528;0,000000;0,019605;0,008635;0,021810;0,014110;0,033878;0,006890;0,000000;0,000000;0,012343;0,038518;0,017758;0,027330;0,026082
vairess0;0,033427;0,006543;0,014350;0,000000;0,024194;0,010807;0,021327;0,000000;0,032497;0,011337;0,012688;0,006860;0,000000;0,000000;0,000000;0,031931;0,030279;0,012452;0,006611;0,000000;0,000000;0,033937;0,000000;0,000000;0,000000;0,006535;0,034539;0,014540;0,014110;0,008470;0,000000;0,013235;0,012343;0,030857;0,019259;0,017758;0,013665;0,006521
vasp1s0;0,006685;0,013086;0,007175;0,018311;0,012097;0,021613;0,021327;0,000000;0,000000;0,000000;0,006344;0,006860;0,013854;0,013019;0,015040;0,012772;0,006056;0,018678;0,013221;0,012606;0,006257;0,013575;0,005869;0,000000;0,006809;0,013070;0,017270;0,014540;0,007055;0,016939;0,013780;0,026469;0,024687;0,006171;0,032099;0,017758;0,020497;0,019562
